Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,114,905953532,3.8281567096710205,0.08008849497357859,0.6336855172553029,0.0,0.0,0.6336855172553029,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,115,489692981,3.578885555267334,0.05447741123694447,0.5163467389098862,0.0,0.0,0.5163467389098862,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,116,1403110060,3.750030994415283,0.05524125775984795,0.4367835324335576,0.0,0.0,0.4367835324335576,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,117,855610522,3.641386032104492,0.07248161357715252,0.43725766306982705,0.0,0.0,0.43725766306982705,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,118,1719200974,3.7656562328338623,0.05768342827699891,0.5163175363641137,0.0,0.0,0.5163175363641137,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,119,526781435,3.7820141315460205,0.08072071960593659,0.3562165242329617,0.0,0.0,0.3562165242329617,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,120,59365084,3.7812817096710205,0.0536686326742145,0.5541587478481261,0.0,0.0,0.5541587478481261,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,121,808970187,3.8757622241973877,0.07121824765730182,0.5546002611827037,0.0,0.0,0.5546002611827037,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,122,724914122,3.625030279159546,0.07591455193015136,0.5164600471384019,0.0,0.0,0.5164600471384019,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,123,253728702,3.813267707824707,0.05175560803997182,0.5952124071209802,0.0,0.0,0.5952124071209802,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,124,707605940,3.6562798023223877,0.057790644926374986,0.39492088040916534,0.0,0.0,0.39492088040916534,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,125,1700259449,3.610135793685913,0.06124990098918728,0.39497905885485657,0.0,0.0,0.39497905885485657,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,126,644013870,3.6250295639038086,0.07327845107321412,0.355008845947312,0.0,0.0,0.355008845947312,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,127,999188731,3.7976393699645996,0.08116238582057299,0.5156772626195985,0.0,0.0,0.5156772626195985,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,128,1267631924,3.1413824558258057,0.051022053384468115,0.476939086607875,0.0,0.0,0.476939086607875,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,129,1354228198,2.1096510887145996,0.05953156898049801,0.3948252620970182,0.0,0.0,0.3948252620970182,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,130,50080229,3.141383171081543,0.07428098334978177,0.4779186099560884,0.0,0.0,0.4779186099560884,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,131,1813701257,2.0784013271331787,0.056061690658577475,0.39493530943620037,0.0,0.0,0.39493530943620037,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,132,2026478608,3.281142473220825,0.06304918748909173,0.5551554980146276,0.0,0.0,0.5551554980146276,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,133,236854643,2.4515178203582764,0.06110321098978613,0.43492610834918977,0.0,0.0,0.43492610834918977,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,134,488627338,2.82887864112854,0.052346330278116956,0.5175315787335026,0.0,0.0,0.5175315787335026,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,135,790888940,1.922149896621704,0.0790365193204877,0.5161334797900132,0.0,0.0,0.5161334797900132,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,136,443023852,3.032510280609131,0.06493061132344727,0.5564128443540589,0.0,0.0,0.5564128443540589,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,137,1560640429,2.0595204830169678,0.06476852298827668,0.4366723191282526,0.0,0.0,0.4366723191282526,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,138,713619456,2.888986349105835,0.08106433112667827,0.39674047670770746,0.0,0.0,0.39674047670770746,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,139,832802126,2.112764358520508,0.061434498151330535,0.5160453274218546,0.0,0.0,0.5160453274218546,12.0,12.0
